city,population_2020,state,population_state,GDP_2020(billion USD),urban_area_km2,road_length_km,year,co2,lat,lon
agartala,649084,TRIPURA,4171328,4.810943488,81.19931638270943,855.2892291753606,2023,41271.94960310418,23.8315,91.2868
agra,2149488,UTTAR PRADESH,232192037,6.215020032,132.9847871055812,2565.353073397376,2023,150294.53072801448,27.1767,78.0081
ahmedabad,7328758,GUJARAT,70846459,125.023608832,440.29280400546025,10538.383634674894,2023,1102951.4680145215,23.0225,72.5714
aizawl,369817,MIZORAM,1353442,2.378940928,102.4099542170358,707.456132006994,2023,44565.90156601212,23.7271,92.7176
aligarh,1104851,UTTAR PRADESH,232192037,3.375762176,36.08918743686557,1068.240681958723,2023,82729.49592068102,27.8974,78.088
allahabad,1817716,UTTAR PRADESH,232192037,5.941533184,92.89870519706189,1748.0385886653385,2023,128828.48815219392,25.4358,81.8463
alwar,493909,RAJASTHAN,80579763,2.035854208,42.0783357176456,1025.5784454618797,2023,47366.02170310275,27.5529,76.6346
amravati,768014,MAHARASHTRA,126536129,4.783886336,123.84191232036032,1833.595313820796,2023,96663.6741834002,20.9374,77.7796
amritsar,1230831,PUNJAB,31255959,6.642479616,128.2572774067643,2874.034307093897,2023,202343.3303453129,31.634,74.8723
aurangabad,1525430,MAHARASHTRA,126536129,9.302564864,179.3336957254616,2390.692908342257,2023,180038.79645137233,19.8762,75.3433
bareilly,1253030,UTTAR PRADESH,232192037,3.078820864,96.73992778326908,1381.9886660818154,2023,91724.93154298834,28.367,79.4304
bengaluru,11921933,KARNATAKA,70511891,207.474245632,711.5942630599542,17122.043110548264,2023,2097256.031572976,12.9716,77.5946
bhilainagar,726401,CHHATTISGARH,29680526,3.0801536,85.14222924469391,1307.0857539922724,2023,80375.61141189397,21.195,81.3509
bhopal,2472358,MADHYA PRADESH,84567635,24.98179072,410.4711678024224,5798.77753963276,2023,213832.331574124,23.2599,77.4126
bhubaneswar,1052752,ODISHA,46690946,3.273826304,146.7981942734399,2447.989447491017,2023,103530.19533758864,20.2961,85.8245
chandigarh,837443,CHANDIGARH,858258,12.626184192,108.15507718319796,2133.653929349304,2023,458728.0586275277,30.7333,76.7794
chennai,7251320,TAMIL NADU,81532082,127.242346496,434.3259408610773,9089.723347053912,2023,1067285.2161437187,13.0827,80.2707
coimbatore,1643565,TAMIL NADU,81532082,14.723796992,260.2173433109644,4145.389411515813,2023,254879.99411054855,11.0168,76.9558
cuttack,873878,ODISHA,46690946,2.699742464,138.848651400604,1301.6385560270232,2023,84619.17819724105,20.4625,85.8828
dehradun,774964,UTTARAKHAND,11641767,6.314616832,71.59872777691614,1507.9565928596453,2023,101022.45981313016,30.3165,78.0322
